gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
-4.987500,46.593750,6.037500,0.722789,-0.205631,0.559492,Biceps_Curl_211805025
-7.866250,47.993752,7.043750,0.694424,-0.229360,0.543693,Biceps_Curl_211805025
-8.741250,50.093750,6.798750,0.668377,-0.251076,0.549244,Biceps_Curl_211805025
-7.420000,53.418751,5.993750,0.649406,-0.269315,0.573766,Biceps_Curl_211805025
-6.597500,57.610001,3.771250,0.640744,-0.291885,0.603961,Biceps_Curl_211805025
-6.895000,61.529999,0.682500,0.656421,-0.281149,0.634156,Biceps_Curl_211805025
-7.980000,64.986252,-1.715000,0.697291,-0.258945,0.660203,Biceps_Curl_211805025
-8.382500,66.578751,-2.835000,0.707600,-0.236985,0.682529,Biceps_Curl_211805025
-8.172500,66.438751,-2.695000,0.705221,-0.232227,0.694546,Biceps_Curl_211805025
-6.518750,65.502502,-3.010000,0.706868,-0.237107,0.698755,Biceps_Curl_211805025
-3.736250,64.907501,-3.823750,0.712114,-0.241011,0.710406,Biceps_Curl_211805025
0.000000,63.174999,-4.287500,0.712663,-0.243390,0.733464,Biceps_Curl_211805025
3.158750,60.812500,-4.383750,0.713273,-0.233752,0.736941,Biceps_Curl_211805025
5.363750,58.012501,-3.482500,0.718824,-0.217587,0.735477,Biceps_Curl_211805025
6.300000,55.501251,-1.855000,0.722057,-0.223138,0.730414,Biceps_Curl_211805025
6.142500,53.392502,-0.953750,0.718336,-0.225578,0.721142,Biceps_Curl_211805025
5.775000,52.351250,-0.131250,0.717055,-0.209596,0.720105,Biceps_Curl_211805025
5.661250,51.073750,1.898750,0.707539,-0.194468,0.718763,Biceps_Curl_211805025
4.838750,49.262501,4.777500,0.693204,-0.197579,0.719312,Biceps_Curl_211805025
2.922500,48.116249,7.490000,0.667462,-0.227225,0.712663,Biceps_Curl_211805025
-0.026250,48.693748,7.533750,0.636901,-0.273097,0.702476,Biceps_Curl_211805025
-3.001250,51.423752,5.416250,0.620187,-0.305366,0.696498,Biceps_Curl_211805025
-4.646250,58.502499,2.817500,0.630069,-0.309026,0.713639,Biceps_Curl_211805025
-5.302500,62.711250,1.303750,0.647088,-0.288347,0.735050,Biceps_Curl_211805025
