gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
3.088750,2.213750,8.776250,0.065392,0.232349,1.108736,Dumbbell_ Shoulder_Shrug_211805053
1.540000,1.767500,6.221250,0.062952,0.216733,1.101660,Dumbbell_ Shoulder_Shrug_211805053
-0.183750,0.778750,3.053750,0.069540,0.209413,1.091107,Dumbbell_ Shoulder_Shrug_211805053
-2.301250,-0.358750,-0.516250,0.081191,0.207278,1.074393,Dumbbell_ Shoulder_Shrug_211805053
-4.593750,-1.986250,-3.937500,0.094001,0.206729,1.052860,Dumbbell_ Shoulder_Shrug_211805053
-6.781250,-3.456250,-6.702500,0.107726,0.209352,1.028582,Dumbbell_ Shoulder_Shrug_211805053
-8.365000,-5.162500,-9.712500,0.119072,0.214598,1.004426,Dumbbell_ Shoulder_Shrug_211805053
-9.651250,-6.475000,-10.972500,0.130845,0.217221,0.984845,Dumbbell_ Shoulder_Shrug_211805053
-10.797500,-8.076250,-11.340000,0.138409,0.218807,0.951417,Dumbbell_ Shoulder_Shrug_211805053
-11.567500,-9.712500,-11.138750,0.143472,0.219295,0.929091,Dumbbell_ Shoulder_Shrug_211805053
-12.083750,-10.605000,-10.648750,0.147071,0.221491,0.909449,Dumbbell_ Shoulder_Shrug_211805053
-12.617500,-11.690000,-9.782500,0.145302,0.224968,0.894687,Dumbbell_ Shoulder_Shrug_211805053
-12.801250,-13.002500,-9.012500,0.143716,0.225639,0.871385,Dumbbell_ Shoulder_Shrug_211805053
-12.363750,-13.711250,-8.557500,0.143167,0.230519,0.855891,Dumbbell_ Shoulder_Shrug_211805053
-11.917500,-14.315000,-7.892500,0.144753,0.232715,0.847473,Dumbbell_ Shoulder_Shrug_211805053
-11.611250,-14.980000,-6.947500,0.145302,0.237534,0.831796,Dumbbell_ Shoulder_Shrug_211805053
-10.823750,-15.198750,-6.011250,0.148596,0.240828,0.828258,Dumbbell_ Shoulder_Shrug_211805053
-9.940000,-15.408750,-3.902500,0.151646,0.249795,0.818681,Dumbbell_ Shoulder_Shrug_211805053
-8.960000,-15.531250,-2.450000,0.150182,0.258396,0.798124,Dumbbell_ Shoulder_Shrug_211805053
-7.901250,-15.478750,-1.050000,0.150670,0.263642,0.809714,Dumbbell_ Shoulder_Shrug_211805053
-6.720000,-15.251250,0.201250,0.149694,0.273768,0.804529,Dumbbell_ Shoulder_Shrug_211805053
