gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
-9.870000,77.472504,23.231251,0.620553,0.061549,0.921832,Front_Raise_231805003
-10.718750,77.857498,23.248751,0.614697,0.064660,0.927078,Front_Raise_231805003
-11.550000,77.761253,22.653749,0.610732,0.069113,0.930494,Front_Raise_231805003
-12.040000,77.367500,21.358749,0.602619,0.075152,0.935801,Front_Raise_231805003
-12.127500,76.614998,21.096251,0.591944,0.079788,0.936655,Front_Raise_231805003
-12.180000,75.993752,21.017500,0.578768,0.082899,0.932507,Front_Raise_231805003
-12.267500,76.317497,20.842501,0.571997,0.084119,0.934764,Front_Raise_231805003
-12.635000,76.448753,20.641251,0.571814,0.082533,0.935618,Front_Raise_231805003
-13.011250,76.413750,20.107500,0.571326,0.078019,0.933239,Front_Raise_231805003
-13.693750,75.862503,19.678749,0.569069,0.068137,0.931104,Front_Raise_231805003
-14.210000,74.742500,18.856251,0.561078,0.077470,0.930433,Front_Raise_231805003
-14.682500,74.068748,18.891251,0.540826,0.076250,0.928725,Front_Raise_231805003
-16.213751,73.333748,19.495001,0.536739,0.068808,0.923540,Front_Raise_231805003
-17.622499,72.957497,19.626249,0.531249,0.065148,0.927444,Front_Raise_231805003
-18.646250,72.187500,19.363750,0.523929,0.071492,0.931592,Front_Raise_231805003
-19.818750,71.163750,18.882500,0.514169,0.078263,0.926224,Front_Raise_231805003
-20.518749,70.691254,18.313749,0.509960,0.079117,0.913719,Front_Raise_231805003
-20.965000,70.455002,17.263750,0.504897,0.069845,0.902129,Front_Raise_231805003
-20.886250,70.385002,16.178749,0.504531,0.069418,0.894199,Front_Raise_231805003
-19.713751,70.192497,16.362499,0.500017,0.066307,0.887855,Front_Raise_231805003
-17.701250,68.915001,17.368750,0.503006,0.041602,0.899201,Front_Raise_231805003
-15.496250,66.290001,15.697500,0.490440,0.056242,0.899445,Front_Raise_231805003
-13.020000,65.948753,14.866250,0.466955,0.052704,0.879864,Front_Raise_231805003
-14.341250,64.382500,16.528749,0.446947,0.044347,0.874374,Front_Raise_231805003
-13.938750,63.682499,17.290001,0.432490,0.045140,0.879986,Front_Raise_231805003
-12.241250,63.945000,17.893749,0.420595,0.051301,0.892430,Front_Raise_231805003
-11.471250,63.472500,18.340000,0.415593,0.060512,0.906399,Front_Raise_231805003
-10.727500,60.576248,18.129999,0.416325,0.065026,0.928115,Front_Raise_231805003
-9.143750,62.212502,18.165001,0.411994,0.062647,0.935740,Front_Raise_231805003
-8.111250,61.801250,17.745001,0.404064,0.058377,0.940010,Front_Raise_231805003
