gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
-13.921250,-39.602501,16.205000,-0.475800,-0.398086,-0.737063,Lateral_Raise_221805084
-14.070000,-41.851250,16.528749,-0.463600,-0.393572,-0.755302,Lateral_Raise_221805084
-13.002500,-43.119999,17.045000,-0.453718,-0.391803,-0.773968,Lateral_Raise_221805084
-10.150000,-44.467499,17.561251,-0.444446,-0.386496,-0.788730,Lateral_Raise_221805084
-8.067500,-45.517502,18.410000,-0.436455,-0.381128,-0.800564,Lateral_Raise_221805084
-6.895000,-45.552502,19.302500,-0.430172,-0.383995,-0.803309,Lateral_Raise_221805084
-6.221250,-44.826248,20.238750,-0.434381,-0.384422,-0.801235,Lateral_Raise_221805084
-6.212500,-43.216251,20.868750,-0.444690,-0.393084,-0.788425,Lateral_Raise_221805084
-6.746250,-41.474998,21.052500,-0.464454,-0.404247,-0.770369,Lateral_Raise_221805084
-7.481250,-39.584999,20.693750,-0.484218,-0.414434,-0.740723,Lateral_Raise_221805084
-8.128750,-38.605000,20.334999,-0.508801,-0.427976,-0.696620,Lateral_Raise_221805084
-8.968750,-38.237499,19.258751,-0.532713,-0.428647,-0.672281,Lateral_Raise_221805084
-9.651250,-38.893749,18.217501,-0.556564,-0.414251,-0.655872,Lateral_Raise_221805084
-10.876250,-39.646252,17.491249,-0.563213,-0.394792,-0.648003,Lateral_Raise_221805084
-14.560000,-40.775002,17.552500,-0.556564,-0.371246,-0.654835,Lateral_Raise_221805084
-17.351250,-41.483749,17.928749,-0.542656,-0.365024,-0.661423,Lateral_Raise_221805084
-19.958750,-41.895000,18.453751,-0.523380,-0.364048,-0.670756,Lateral_Raise_221805084
-22.251249,-42.113750,18.821251,-0.492453,-0.367952,-0.683871,Lateral_Raise_221805084
-23.686251,-41.903751,18.978750,-0.469456,-0.369660,-0.694973,Lateral_Raise_221805084
-23.555000,-41.571251,18.725000,-0.465186,-0.356545,-0.700219,Lateral_Raise_221805084
-22.347500,-41.247501,18.488750,-0.477386,-0.338611,-0.701317,Lateral_Raise_221805084
-21.245001,-41.965000,19.083750,-0.481595,-0.319030,-0.705953,Lateral_Raise_221805084
-19.993750,-44.196251,20.448750,-0.476959,-0.303414,-0.719434,Lateral_Raise_221805084
-19.066250,-45.088749,22.251249,-0.488976,-0.293227,-0.736514,Lateral_Raise_221805084
-18.445000,-44.703751,23.502501,-0.518866,-0.310307,-0.744261,Lateral_Raise_221805084
-17.972500,-43.198750,23.572500,-0.543205,-0.310490,-0.745908,Lateral_Raise_221805084
-17.709999,-41.632500,23.161249,-0.556747,-0.315553,-0.740235,Lateral_Raise_221805084
-16.660000,-41.431252,23.082500,-0.576572,-0.329888,-0.732976,Lateral_Raise_221805084
-14.595000,-42.139999,23.905001,-0.586820,-0.352702,-0.718397,Lateral_Raise_221805084
-11.550000,-43.522499,23.940001,-0.584807,-0.374052,-0.702720,Lateral_Raise_221805084
-8.496250,-45.613750,23.275000,-0.571997,-0.387899,-0.682956,Lateral_Raise_221805084
-6.037500,-47.818748,22.592501,-0.570594,-0.390278,-0.667767,Lateral_Raise_221805084
-4.742500,-49.726250,21.892500,-0.574132,-0.386435,-0.643794,Lateral_Raise_221805084
-4.821250,-50.723751,21.201250,-0.575962,-0.377468,-0.654225,Lateral_Raise_221805084
-6.553750,-50.452499,20.588751,-0.577792,-0.366488,-0.657763,Lateral_Raise_221805084
-8.977500,-49.612499,20.212500,-0.584441,-0.332511,-0.657763,Lateral_Raise_221805084
-12.810000,-48.055000,20.020000,-0.593408,-0.320982,-0.655628,Lateral_Raise_221805084
-15.496250,-46.628750,19.985001,-0.599874,-0.306769,-0.650199,Lateral_Raise_221805084
-18.471251,-45.412498,20.326250,-0.607316,-0.300791,-0.650138,Lateral_Raise_221805084
-21.288750,-44.555000,20.816250,-0.610549,-0.304573,-0.650687,Lateral_Raise_221805084
-23.275000,-43.627499,20.956249,-0.607072,-0.308721,-0.655445,Lateral_Raise_221805084
-24.482500,-43.163750,20.448750,-0.602497,-0.309453,-0.659776,Lateral_Raise_221805084
-24.219999,-43.400002,20.405001,-0.610000,-0.311039,-0.666547,Lateral_Raise_221805084
-22.855000,-44.187500,20.361250,-0.619394,-0.304817,-0.670329,Lateral_Raise_221805084
-21.026251,-46.278751,20.527500,-0.629642,-0.303780,-0.672342,Lateral_Raise_221805084
-18.821251,-48.186249,20.693750,-0.634034,-0.301645,-0.675331,Lateral_Raise_221805084
-15.522500,-49.717499,20.693750,-0.629825,-0.301279,-0.677710,Lateral_Raise_221805084
-13.501250,-50.758751,21.166250,-0.625067,-0.302194,-0.673806,Lateral_Raise_221805084
-12.495000,-50.811249,21.236250,-0.618052,-0.298961,-0.663680,Lateral_Raise_221805084
-12.101250,-50.242500,20.825001,-0.616954,-0.288103,-0.650992,Lateral_Raise_221805084
-12.075000,-49.314999,20.571251,-0.624335,-0.279197,-0.636596,Lateral_Raise_221805084
-12.845000,-48.474998,21.000000,-0.638914,-0.274439,-0.615856,Lateral_Raise_221805084
-14.227500,-47.818748,21.586250,-0.651541,-0.277733,-0.595726,Lateral_Raise_221805084
-15.960000,-47.223751,21.507500,-0.663192,-0.277855,-0.575840,Lateral_Raise_221805084
-17.972500,-46.891251,20.947500,-0.684176,-0.274439,-0.563213,Lateral_Raise_221805084
-20.238750,-47.503750,20.177500,-0.699670,-0.266021,-0.560346,Lateral_Raise_221805084
-22.540001,-48.562500,20.457500,-0.700097,-0.259433,-0.560529,Lateral_Raise_221805084
-24.605000,-50.172501,20.956249,-0.700707,-0.251930,-0.566568,Lateral_Raise_221805084
-26.110001,-51.642502,21.061251,-0.698511,-0.243634,-0.589931,Lateral_Raise_221805084
-27.352501,-53.138748,21.105000,-0.682407,-0.242231,-0.616039,Lateral_Raise_221805084
-27.895000,-53.672501,21.481251,-0.675026,-0.242048,-0.639951,Lateral_Raise_221805084
-27.492500,-54.005001,21.533751,-0.663802,-0.240584,-0.664900,Lateral_Raise_221805084
-25.602501,-54.241249,21.183750,-0.654225,-0.239364,-0.679601,Lateral_Raise_221805084
-22.758751,-54.320000,21.113750,-0.651480,-0.231434,-0.686799,Lateral_Raise_221805084
-19.748751,-54.617500,21.507500,-0.644343,-0.227164,-0.683688,Lateral_Raise_221805084
-16.957500,-55.151249,22.242500,-0.640866,-0.225639,-0.670756,Lateral_Raise_221805084
-14.656250,-54.722500,22.881250,-0.648003,-0.232227,-0.655018,Lateral_Raise_221805084
-13.308750,-53.602501,23.091249,-0.662582,-0.244427,-0.638121,Lateral_Raise_221805084
-12.600000,-52.001251,22.767500,-0.688629,-0.253272,-0.612806,Lateral_Raise_221805084
-12.328750,-50.189999,21.962500,-0.716933,-0.251991,-0.586759,Lateral_Raise_221805084
-12.757500,-49.218750,20.737499,-0.745908,-0.245647,-0.565043,Lateral_Raise_221805084
-13.991250,-48.728748,19.853750,-0.751825,-0.240035,-0.549244,Lateral_Raise_221805084
-16.213751,-49.384998,19.573750,-0.756278,-0.223504,-0.548512,Lateral_Raise_221805084
-18.558750,-51.029999,20.046249,-0.757742,-0.203252,-0.560224,Lateral_Raise_221805084
-20.798750,-53.033749,21.192499,-0.760609,-0.193675,-0.581452,Lateral_Raise_221805084
-23.520000,-54.696251,22.802500,-0.748958,-0.190137,-0.618479,Lateral_Raise_221805084
-26.153749,-55.282501,24.184999,-0.741272,-0.191357,-0.638609,Lateral_Raise_221805084
-27.693750,-54.661251,25.567499,-0.744749,-0.197152,-0.648552,Lateral_Raise_221805084
-28.638750,-53.313751,25.987499,-0.759938,-0.205936,-0.652090,Lateral_Raise_221805084
-28.875000,-51.948750,25.873751,-0.766953,-0.220515,-0.640134,Lateral_Raise_221805084
-28.735001,-50.741249,25.033751,-0.778848,-0.230580,-0.625128,Lateral_Raise_221805084
-28.157499,-50.566250,24.115000,-0.788791,-0.249612,-0.615307,Lateral_Raise_221805084
-26.477501,-50.408749,23.082500,-0.792451,-0.271023,-0.599020,Lateral_Raise_221805084
-23.616249,-50.058750,21.280001,-0.810568,-0.292434,-0.583221,Lateral_Raise_221805084
-19.626249,-49.761250,16.695000,-0.822951,-0.308294,-0.562054,Lateral_Raise_221805084
-14.288750,-49.463749,12.066250,-0.822402,-0.279441,-0.544242,Lateral_Raise_221805084
-9.940000,-50.461250,8.715000,-0.808067,-0.231678,-0.532469,Lateral_Raise_221805084
