gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
-3.972500,-4.725000,1.207500,0.246135,-0.019093,1.002169,Sitting_211805043
-3.850000,-4.873750,1.242500,0.243817,-0.022997,0.992165,Sitting_211805043
-3.333750,-4.943750,1.330000,0.242292,-0.028365,0.989786,Sitting_211805043
-2.432500,-5.355000,1.242500,0.245159,-0.031903,0.988017,Sitting_211805043
-1.435000,-5.232500,1.260000,0.243512,-0.036051,0.988322,Sitting_211805043
-0.568750,-5.232500,1.277500,0.244610,-0.037454,0.993751,Sitting_211805043
0.175000,-5.363750,1.032500,0.247538,-0.037820,1.000461,Sitting_211805043
1.041250,-5.232500,0.962500,0.250954,-0.036478,1.002474,Sitting_211805043
1.671250,-5.040000,0.945000,0.252174,-0.035319,1.002169,Sitting_211805043
2.327500,-4.847500,0.988750,0.251991,-0.032208,1.000583,Sitting_211805043
2.292500,-4.436250,1.050000,0.249612,-0.032025,0.999241,Sitting_211805043
1.995000,-4.462500,0.918750,0.250771,-0.030622,0.997228,Sitting_211805043
1.540000,-5.040000,0.866250,0.252418,-0.029646,0.995947,Sitting_211805043
0.831250,-5.048750,0.910000,0.256139,-0.033245,0.996984,Sitting_211805043
0.122500,-5.390000,0.971250,0.260409,-0.032635,1.001620,Sitting_211805043
-0.612500,-5.101250,1.093750,0.261873,-0.027389,1.004914,Sitting_211805043
-0.883750,-4.611250,1.295000,0.260775,-0.026779,1.007049,Sitting_211805043
-0.866250,-4.331250,1.102500,0.259067,-0.027999,1.006195,Sitting_211805043
-0.980000,-3.412500,1.093750,0.257420,-0.028792,1.008147,Sitting_211805043
-0.910000,-2.957500,1.032500,0.258457,-0.023546,1.008086,Sitting_211805043
-1.356250,-2.572500,1.478750,0.258152,-0.022936,0.995764,Sitting_211805043
-1.653750,-1.925000,1.636250,0.249612,-0.025315,0.993995,Sitting_211805043
-1.128750,-2.686250,2.082500,0.248392,-0.027755,0.995337,Sitting_211805043
-0.332500,-3.972500,2.213750,0.248758,-0.029402,0.997594,Sitting_211805043
0.411250,-3.657500,2.187500,0.250954,-0.027816,1.009428,Sitting_211805043
0.875000,-3.771250,2.345000,0.250100,-0.028365,1.020286,Sitting_211805043
0.673750,-3.683750,2.458750,0.250222,-0.028121,1.023946,Sitting_211805043
-0.498750,-3.561250,2.511250,0.250100,-0.027145,1.021750,Sitting_211805043
-2.038750,-3.263750,2.607500,0.251503,-0.021899,1.013515,Sitting_211805043
-3.613750,-3.010000,2.467500,0.247477,-0.018300,1.000644,Sitting_211805043
-4.742500,-2.843750,2.021250,0.247050,-0.012383,0.989115,Sitting_211805043
-4.672500,-2.301250,1.312500,0.241682,-0.016104,0.980514,Sitting_211805043
-3.570000,-1.750000,0.490000,0.243939,-0.031415,0.976305,Sitting_211805043
-1.513750,-1.435000,0.385000,0.248392,-0.039955,0.977342,Sitting_211805043
0.682500,-1.601250,0.647500,0.252357,-0.046970,0.984052,Sitting_211805043
2.940000,-2.012500,0.988750,0.248148,-0.050447,0.994178,Sitting_211805043
5.241250,-2.695000,1.155000,0.247477,-0.046909,0.999424,Sitting_211805043
6.378750,-3.228750,1.496250,0.248941,-0.041358,1.004609,Sitting_211805043
7.857500,-3.290000,1.365000,0.245525,-0.033184,1.014979,Sitting_211805043
8.470000,-3.360000,1.251250,0.246440,-0.027938,1.022421,Sitting_211805043
7.682500,-3.220000,1.242500,0.247294,-0.027328,1.022665,Sitting_211805043
6.457500,-3.430000,1.172500,0.247538,-0.020740,1.023946,Sitting_211805043
4.445000,-3.762500,1.277500,0.247660,-0.018361,1.018090,Sitting_211805043
2.152500,-3.972500,1.365000,0.251259,-0.015921,1.008879,Sitting_211805043
0.201250,-4.112500,1.382500,0.249734,-0.013420,1.003145,Sitting_211805043
-0.945000,-3.788750,1.111250,0.245891,-0.010370,0.998387,Sitting_211805043
-1.618750,-3.701250,0.866250,0.246562,-0.011712,0.992287,Sitting_211805043
-1.723750,-3.745000,0.770000,0.251930,-0.026474,0.986614,Sitting_211805043
-0.726250,-3.605000,0.883750,0.251503,-0.038308,0.987529,Sitting_211805043
0.035000,-3.753750,1.566250,0.254675,-0.043249,0.989786,Sitting_211805043
0.402500,-3.447500,1.855000,0.255346,-0.042822,0.998387,Sitting_211805043
0.428750,-3.692500,2.126250,0.252052,-0.036539,1.005524,Sitting_211805043
-0.218750,-4.217500,0.035000,0.252052,-0.029524,1.010831,Sitting_211805043
-1.006250,-4.401250,2.012500,0.249124,-0.021655,1.010526,Sitting_211805043
-1.443750,-4.270000,1.592500,0.247782,-0.013420,1.011075,Sitting_211805043
-1.977500,-3.858750,1.198750,0.246257,-0.008113,1.006256,Sitting_211805043
-2.266250,-3.368750,0.525000,0.245403,-0.010004,1.001925,Sitting_211805043
-1.977500,-2.940000,0.052500,0.246196,-0.018666,0.998204,Sitting_211805043
-0.971250,-2.590000,0.000000,0.243329,-0.027145,0.994422,Sitting_211805043
-0.787500,-2.397500,0.017500,0.247294,-0.026291,0.992043,Sitting_211805043
-0.945000,-2.117500,0.113750,0.249002,-0.030683,0.995886,Sitting_211805043
-1.076250,-2.450000,0.551250,0.249368,-0.029951,0.993812,Sitting_211805043
-0.778750,-3.298750,0.936250,0.255468,-0.034892,0.993934,Sitting_211805043
0.402500,-3.771250,1.636250,0.253272,-0.035807,1.001254,Sitting_211805043
1.855000,-3.885000,1.811250,0.251137,-0.033733,1.009489,Sitting_211805043
3.036250,-3.657500,1.820000,0.251747,-0.032513,1.010709,Sitting_211805043
3.675000,-3.272500,1.986250,0.251076,-0.029158,1.012783,Sitting_211805043
3.631250,-3.386250,1.925000,0.251747,-0.024949,1.012966,Sitting_211805043
3.298750,-3.395000,1.890000,0.250344,-0.019459,1.011319,Sitting_211805043
1.732500,-2.992500,1.496250,0.248575,-0.020679,1.004670,Sitting_211805043
0.883750,-3.272500,1.198750,0.247477,-0.022631,1.001803,Sitting_211805043
-0.227500,-3.150000,1.023750,0.246135,-0.023119,0.999668,Sitting_211805043
-1.540000,-3.377500,1.023750,0.247233,-0.026047,0.999363,Sitting_211805043
-2.493750,-3.893750,1.330000,0.252357,-0.026230,0.994727,Sitting_211805043
-2.380000,-3.981250,1.688750,0.250283,-0.024461,0.999119,Sitting_211805043
-1.802500,-4.051250,1.872500,0.250222,-0.025193,1.000827,Sitting_211805043
-1.041250,-3.902500,1.872500,0.249246,-0.026291,1.004304,Sitting_211805043
0.157500,-3.526250,2.213750,0.251076,-0.027023,1.004792,Sitting_211805043
0.988750,-3.421250,2.135000,0.247965,-0.026840,1.006622,Sitting_211805043
1.242500,-3.325000,2.082500,0.246074,-0.018666,1.004609,Sitting_211805043
1.190000,-3.535000,1.470000,0.246013,-0.019520,1.001254,Sitting_211805043
1.085000,-3.631250,0.892500,0.245525,-0.022753,0.999973,Sitting_211805043
0.927500,-3.762500,0.673750,0.245220,-0.025132,1.000461,Sitting_211805043
0.586250,-4.033750,0.656250,0.249368,-0.022265,0.999851,Sitting_211805043
-0.052500,-3.946250,0.743750,0.250161,-0.020130,0.999546,Sitting_211805043
-0.052500,-4.130000,1.172500,0.245708,-0.019886,0.998509,Sitting_211805043
0.052500,-4.051250,1.198750,0.246440,-0.021472,1.002779,Sitting_211805043
0.516250,-4.812500,1.408750,0.249307,-0.021899,1.006195,Sitting_211805043
0.945000,-4.532500,1.443750,0.250832,-0.024461,1.011685,Sitting_211805043
1.015000,-4.795000,1.618750,0.253516,-0.025559,1.017724,Sitting_211805043
-0.070000,-4.506250,1.811250,0.253516,-0.028914,1.014186,Sitting_211805043
-1.233750,-4.646250,1.995000,0.253455,-0.028243,1.008879,Sitting_211805043
-2.388750,-4.558750,2.047500,0.254126,-0.026901,1.002047,Sitting_211805043
-3.027500,-4.725000,2.073750,0.252296,-0.026108,0.995032,Sitting_211805043
-3.080000,-4.305000,1.933750,0.253821,-0.029402,0.988383,Sitting_211805043
-1.942500,-4.060000,1.583750,0.251808,-0.031598,0.986004,Sitting_211805043
-0.481250,-3.771250,1.662500,0.252357,-0.035929,0.985943,Sitting_211805043
0.682500,-3.333750,1.811250,0.249307,-0.041236,0.992470,Sitting_211805043
1.820000,-3.745000,1.977500,0.251015,-0.041907,0.998082,Sitting_211805043
2.546250,-3.955000,1.960000,0.251259,-0.041968,1.006256,Sitting_211805043
3.167500,-3.850000,1.785000,0.250649,-0.039467,1.011136,Sitting_211805043
3.027500,-3.946250,1.697500,0.250222,-0.028121,1.011624,Sitting_211805043
2.231250,-3.876250,1.715000,0.246684,-0.021350,1.012478,Sitting_211805043
1.120000,-3.920000,1.513750,0.247965,-0.015677,1.008513,Sitting_211805043
0.402500,-3.701250,1.400000,0.249185,-0.012688,1.006134,Sitting_211805043
-0.420000,-3.762500,1.505000,0.249063,-0.010919,1.002413,Sitting_211805043
-1.058750,-3.543750,1.653750,0.250161,-0.011773,1.000339,Sitting_211805043
-1.557500,-3.080000,1.522500,0.248148,-0.013969,0.998448,Sitting_211805043
-1.557500,-3.438750,1.487500,0.250588,-0.016409,0.996557,Sitting_211805043
-1.610000,-3.246250,1.461250,0.249185,-0.021350,0.998387,Sitting_211805043
-1.172500,-2.651250,1.321250,0.251808,-0.022387,0.995093,Sitting_211805043
-0.918750,-2.310000,1.155000,0.256322,-0.028975,0.997960,Sitting_211805043
0.945000,-2.213750,1.400000,0.255651,-0.033916,0.996923,Sitting_211805043
2.371250,-2.415000,1.645000,0.255956,-0.036295,0.997899,Sitting_211805043
3.473750,-2.721250,1.933750,0.255773,-0.033916,0.996801,Sitting_211805043
3.683750,-2.178750,2.240000,0.254919,-0.033672,1.001986,Sitting_211805043
3.920000,-2.056250,0.078750,0.250405,-0.026352,1.005463,Sitting_211805043
3.850000,-2.432500,2.275000,0.248758,-0.023241,1.005341,Sitting_211805043
