gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,Label
-27.842501,5.582500,127.548752,0.956663,-0.142923,0.822951,Walking_231805003
-25.707500,8.505000,134.312500,0.956114,-0.125233,0.814228,Walking_231805003
-22.522499,7.682500,141.181244,0.951234,-0.113399,0.806359,Walking_231805003
-18.856251,8.671250,148.242493,0.945988,-0.103517,0.793671,Walking_231805003
-15.391250,9.791250,154.962494,0.932019,-0.078385,0.778665,Walking_231805003
-10.937500,11.585000,161.490005,0.920917,-0.079544,0.764330,Walking_231805003
-9.135000,13.658750,167.028748,0.907924,-0.070638,0.750971,Walking_231805003
-7.962500,16.021250,171.744995,0.893467,-0.066856,0.742919,Walking_231805003
-7.761250,18.322500,175.524994,0.883890,-0.059536,0.730597,Walking_231805003
-8.592500,20.545000,177.948746,0.877851,-0.053619,0.724680,Walking_231805003
-10.386250,22.531250,180.328751,0.871995,-0.045994,0.715591,Walking_231805003
-12.958750,24.290001,180.232498,0.868640,-0.036661,0.707600,Walking_231805003
-16.205000,25.567499,179.497498,0.862113,-0.027450,0.697779,Walking_231805003
-19.976250,26.818750,177.835007,0.862052,-0.017141,0.690093,Walking_231805003
-24.080000,27.072500,175.612503,0.858880,-0.006832,0.684786,Walking_231805003
-30.633751,26.801250,173.048752,0.860710,0.011834,0.679662,Walking_231805003
-35.192501,26.188749,170.169998,0.863333,0.027633,0.674111,Walking_231805003
-39.663750,25.348749,167.238754,0.870653,0.039894,0.670573,Walking_231805003
-43.758751,24.368750,164.272507,0.879803,0.054839,0.674050,Walking_231805003
-47.433750,23.100000,161.000000,0.884195,0.066429,0.674843,Walking_231805003
-50.146252,21.945000,157.036255,0.885049,0.077287,0.675819,Walking_231805003
-51.992500,20.256250,151.182495,0.884317,0.089365,0.673745,Walking_231805003
-53.427502,18.558750,147.315002,0.881511,0.094428,0.666181,Walking_231805003
-54.197498,16.668751,143.473755,0.870531,0.095953,0.659532,Walking_231805003
-54.687500,14.008750,139.755005,0.863638,0.095221,0.650687,Walking_231805003
-54.661251,12.057500,135.948746,0.852536,0.094611,0.641171,Walking_231805003
-54.818748,10.508750,132.282501,0.837469,0.089426,0.632753,Walking_231805003
-55.142502,9.073750,128.712494,0.822829,0.085461,0.622322,Walking_231805003
-55.509998,8.373750,125.483749,0.803797,0.078324,0.617198,Walking_231805003
-56.253750,7.612500,122.438751,0.791109,0.072224,0.608963,Walking_231805003
-56.980000,6.886250,119.875000,0.778726,0.064599,0.600423,Walking_231805003
-57.889999,6.256250,115.001251,0.767014,0.060268,0.593713,Walking_231805003
-58.834999,5.950000,113.706253,0.758962,0.054656,0.591700,Walking_231805003
-59.884998,5.591250,111.422501,0.745237,0.053436,0.583221,Walking_231805003
-60.742500,5.897500,109.864998,0.737368,0.051301,0.578463,Walking_231805003
-61.424999,5.661250,107.922501,0.730963,0.047763,0.574071,Walking_231805003
-62.431252,5.967500,106.408752,0.724436,0.049471,0.567727,Walking_231805003
-64.128754,6.352500,104.396248,0.718214,0.053253,0.562237,Walking_231805003
-64.942497,6.947500,102.620003,0.715774,0.058194,0.555405,Walking_231805003
-65.800003,7.516250,100.922501,0.708942,0.061122,0.545523,Walking_231805003
-66.394997,8.015000,98.883751,0.704123,0.065270,0.537776,Walking_231805003
-66.858749,8.356250,97.230003,0.701073,0.073444,0.527894,Walking_231805003
-67.086250,8.505000,95.401253,0.697230,0.083814,0.517951,Walking_231805003
-66.902496,8.522500,92.889999,0.693082,0.091561,0.508191,Walking_231805003
-66.657501,8.382500,90.790001,0.688995,0.102297,0.497150,Walking_231805003
-65.870003,7.700000,89.127502,0.684298,0.110471,0.482754,Walking_231805003
-64.855003,7.253750,86.948753,0.676734,0.117974,0.474824,Walking_231805003
-63.673752,6.667500,85.032501,0.669658,0.125660,0.466711,Walking_231805003
-61.215000,5.888750,82.871246,0.664534,0.134444,0.457256,Walking_231805003
-59.237499,4.725000,80.963753,0.659776,0.142435,0.449265,Walking_231805003
-56.953751,3.771250,79.231247,0.653432,0.151280,0.440847,Walking_231805003
-54.136250,2.975000,77.647499,0.653554,0.162016,0.437004,Walking_231805003
-50.811249,2.213750,76.510002,0.650809,0.172081,0.437492,Walking_231805003
-47.424999,1.373750,75.118752,0.649711,0.180011,0.439566,Walking_231805003
-43.216251,0.525000,74.287498,0.645807,0.185074,0.443104,Walking_231805003
-38.368752,-0.533750,72.852501,0.639768,0.186538,0.448472,Walking_231805003
-33.337502,-2.187500,71.382500,0.633180,0.185928,0.454572,Walking_231805003
-28.017500,-3.360000,69.361252,0.624579,0.185379,0.459879,Walking_231805003
-21.008751,-4.130000,67.436249,0.617930,0.185135,0.467504,Walking_231805003
-17.150000,-4.602500,64.925003,0.612745,0.185318,0.476471,Walking_231805003
-13.606250,-4.882500,62.299999,0.612806,0.185257,0.486902,Walking_231805003
-10.377500,-4.847500,59.744999,0.621163,0.186721,0.500383,Walking_231805003
-7.498750,-4.646250,57.286251,0.627568,0.187758,0.518744,Walking_231805003
-4.996250,-4.445000,54.608749,0.632936,0.190869,0.533750,Walking_231805003
-2.388750,-3.876250,49.630001,0.649589,0.199287,0.556564,Walking_231805003
-0.271250,-3.447500,46.112499,0.666059,0.198860,0.576084,Walking_231805003
0.971250,-2.817500,42.017502,0.674660,0.216672,0.613660,Walking_231805003
3.736250,-1.968750,38.255001,0.687592,0.219356,0.637511,Walking_231805003
7.166250,-2.397500,33.958752,0.702659,0.218197,0.646539,Walking_231805003
11.847500,-2.660000,29.767500,0.715652,0.222650,0.661301,Walking_231805003
14.901250,-2.957500,24.788750,0.727974,0.225883,0.677161,Walking_231805003
17.596251,-3.456250,20.107500,0.739442,0.223382,0.693509,Walking_231805003
19.731251,-4.165000,15.198750,0.756705,0.219356,0.707966,Walking_231805003
21.507500,-4.943750,9.756250,0.765672,0.211243,0.721935,Walking_231805003
23.108749,-5.652500,1.391250,0.775432,0.198006,0.732122,Walking_231805003
24.088751,-5.985000,-6.781250,0.782752,0.186599,0.739137,Walking_231805003
24.403749,-6.063750,-14.358750,0.791170,0.176107,0.744810,Walking_231805003
24.132500,-5.433750,-22.487499,0.804346,0.170129,0.759145,Walking_231805003
23.406250,-4.681250,-30.511250,0.816363,0.168909,0.763903,Walking_231805003
21.586250,-3.692500,-38.605000,0.826184,0.168421,0.769210,Walking_231805003
18.068750,-2.870000,-46.147499,0.835700,0.169580,0.770491,Walking_231805003
15.120000,-1.863750,-53.724998,0.843569,0.175863,0.771894,Walking_231805003
12.145000,-0.980000,-60.830002,0.855281,0.179401,0.768844,Walking_231805003
9.590000,0.061250,-67.672501,0.859246,0.186721,0.764208,Walking_231805003
7.595000,0.883750,-74.383751,0.863211,0.190137,0.756827,Walking_231805003
6.772500,1.461250,-83.046249,0.869555,0.196054,0.747982,Walking_231805003
6.842500,1.566250,-89.731247,0.879925,0.203618,0.742492,Walking_231805003
7.420000,1.426250,-94.928749,0.888526,0.207461,0.738588,Walking_231805003
8.496250,1.435000,-99.627502,0.900848,0.210145,0.740540,Walking_231805003
9.957500,1.662500,-103.906250,0.908778,0.212402,0.745481,Walking_231805003
11.585000,1.671250,-107.782501,0.910730,0.211914,0.741394,Walking_231805003
15.015000,1.190000,-110.792503,0.907192,0.209962,0.735294,Walking_231805003
18.401251,0.201250,-113.741249,0.904813,0.204106,0.725961,Walking_231805003
22.286249,-1.067500,-116.129997,0.897066,0.193858,0.716872,Walking_231805003
26.302500,-2.292500,-118.186249,0.889075,0.179584,0.708088,Walking_231805003
30.353750,-3.176250,-120.260002,0.879803,0.161894,0.698877,Walking_231805003
34.168751,-3.657500,-122.902496,0.874435,0.145424,0.689117,Walking_231805003
37.730000,-3.972500,-124.827499,0.872361,0.131028,0.686738,Walking_231805003
40.967499,-4.217500,-126.402496,0.875716,0.116083,0.690215,Walking_231805003
44.668751,-4.401250,-128.169998,0.878217,0.099308,0.703147,Walking_231805003
48.903751,-5.162500,-129.237503,0.874740,0.078690,0.706380,Walking_231805003
58.187500,-6.133750,-130.392502,0.871568,0.048861,0.700646,Walking_231805003
61.643749,-7.061250,-130.926254,0.863394,0.032208,0.696193,Walking_231805003
66.745003,-7.612500,-130.830002,0.844362,0.022204,0.697230,Walking_231805003
71.102501,-7.332500,-129.666245,0.858209,0.009333,0.707295,Walking_231805003
74.821251,-6.615000,-127.644997,0.860832,0.000305,0.721325,Walking_231805003
78.023750,-5.661250,-124.757500,0.862235,-0.009943,0.742004,Walking_231805003
81.007500,-5.101250,-119.586250,0.865773,-0.022021,0.769149,Walking_231805003
83.623749,-4.908750,-116.558746,0.867664,-0.033977,0.791780,Walking_231805003
85.863747,-4.690000,-113.837502,0.867237,-0.046238,0.822829,Walking_231805003
88.182503,-4.891250,-111.886253,0.861564,-0.062220,0.844484,Walking_231805003
90.028748,-5.398750,-110.188751,0.856318,-0.079727,0.857233,Walking_231805003
91.227501,-5.915000,-108.989998,0.847778,-0.106994,0.867542,Walking_231805003
90.466248,-6.475000,-107.301247,0.840275,-0.123098,0.871873,Walking_231805003
88.436249,-7.236250,-105.901253,0.814289,-0.141947,0.876021,Walking_231805003
85.504997,-7.901250,-104.247498,0.816851,-0.158905,0.875350,Walking_231805003
81.654999,-8.828750,-102.803749,0.810080,-0.169702,0.875350,Walking_231805003
77.026253,-10.158750,-101.596252,0.803492,-0.180255,0.875350,Walking_231805003
72.091248,-11.751250,-100.161247,0.794647,-0.190015,0.869006,Walking_231805003
66.963753,-13.510000,-99.583748,0.785619,-0.198128,0.862174,Walking_231805003
61.669998,-16.616249,-99.163750,0.774761,-0.207034,0.845033,Walking_231805003
56.419998,-19.048750,-99.330002,0.762500,-0.215086,0.833199,Walking_231805003
51.021252,-21.542500,-99.636253,0.750910,-0.218868,0.818864,Walking_231805003
42.945000,-24.307501,-100.012497,0.742614,-0.223199,0.804956,Walking_231805003
37.992500,-26.836250,-100.275002,0.735233,-0.226493,0.786107,Walking_231805003
33.871250,-29.382500,-100.904999,0.722362,-0.228689,0.767807,Walking_231805003
30.030001,-31.648750,-101.543747,0.714371,-0.226981,0.752069,Walking_231805003
26.547501,-33.923752,-101.989998,0.705953,-0.220698,0.736880,Walking_231805003
23.266251,-35.988750,-102.716248,0.695827,-0.216550,0.720044,Walking_231805003
20.492500,-37.703751,-102.996246,0.686067,-0.210511,0.699487,Walking_231805003
17.657499,-38.727501,-102.488747,0.674782,-0.206058,0.684420,Walking_231805003
14.857500,-38.657501,-101.342499,0.662765,-0.201117,0.664534,Walking_231805003
12.556250,-38.290001,-99.697502,0.645868,-0.199104,0.645929,Walking_231805003
10.578750,-37.415001,-97.448753,0.630740,-0.192089,0.633973,Walking_231805003
8.146250,-36.207500,-95.007500,0.618357,-0.183793,0.622627,Walking_231805003
6.728750,-34.562500,-92.382500,0.610305,-0.179279,0.614209,Walking_231805003
5.302500,-32.751251,-90.037498,0.606096,-0.175924,0.611586,Walking_231805003
4.340000,-30.756250,-87.543747,0.604693,-0.172935,0.612562,Walking_231805003
3.500000,-28.866249,-85.067497,0.605730,-0.171776,0.620187,Walking_231805003
2.826250,-27.107500,-81.768753,0.607255,-0.178486,0.624762,Walking_231805003
2.625000,-25.576250,-80.150002,0.605120,-0.185379,0.631167,Walking_231805003
2.773750,-24.010000,-79.388748,0.604388,-0.186660,0.637389,Walking_231805003
3.115000,-21.385000,-78.714996,0.603229,-0.186599,0.641598,Walking_231805003
3.456250,-19.512501,-78.137497,0.606950,-0.184708,0.646844,Walking_231805003
3.885000,-17.342501,-77.568748,0.607926,-0.183976,0.652395,Walking_231805003
4.882500,-15.435000,-77.341248,0.610488,-0.186233,0.656604,Walking_231805003
5.923750,-13.466250,-77.043747,0.612074,-0.185074,0.661545,Walking_231805003
7.262500,-12.267500,-77.279999,0.622200,-0.185379,0.665022,Walking_231805003
8.522500,-11.147500,-77.446251,0.628727,-0.186538,0.666364,Walking_231805003
9.966250,-10.272500,-77.945000,0.632753,-0.192882,0.663497,Walking_231805003
11.558750,-9.353750,-78.443748,0.637023,-0.200324,0.660081,Walking_231805003
13.378750,-8.347500,-78.855003,0.643428,-0.209230,0.651053,Walking_231805003
15.111250,-7.393750,-78.688751,0.654164,-0.215147,0.645319,Walking_231805003
16.292500,-5.635000,-78.522499,0.664351,-0.219600,0.636779,Walking_231805003
17.412500,-4.340000,-78.041252,0.673074,-0.221247,0.641232,Walking_231805003
18.584999,-3.132500,-76.746246,0.681736,-0.223870,0.640500,Walking_231805003
20.291250,-2.257500,-75.381248,0.684969,-0.236375,0.630862,Walking_231805003
21.551250,-1.023750,-73.543747,0.688019,-0.243756,0.625372,Walking_231805003
22.417500,0.551250,-71.093750,0.702598,-0.247111,0.627751,Walking_231805003
23.161249,2.187500,-68.932503,0.715591,-0.250344,0.633851,Walking_231805003
23.598749,3.928750,-65.896248,0.728035,-0.253272,0.642635,Walking_231805003
24.254999,5.083750,-61.433750,0.743529,-0.262117,0.654896,Walking_231805003
25.208750,5.906250,-58.808750,0.757010,-0.269254,0.663009,Walking_231805003
26.110001,6.343750,-56.043751,0.771406,-0.276391,0.677100,Walking_231805003
27.020000,6.483750,-53.777500,0.780861,-0.283650,0.689178,Walking_231805003
27.440001,6.518750,-51.590000,0.790987,-0.294752,0.698755,Walking_231805003
27.405001,6.317500,-49.533749,0.797697,-0.314821,0.702110,Walking_231805003
26.678749,6.098750,-47.845001,0.802211,-0.325374,0.707783,Walking_231805003
25.322500,5.932500,-45.972500,0.827160,-0.331962,0.717482,Walking_231805003
22.968750,5.871250,-44.476250,0.828990,-0.332816,0.731329,Walking_231805003
20.046249,5.678750,-42.472500,0.844423,-0.332389,0.744566,Walking_231805003
17.001249,5.267500,-38.281250,0.860039,-0.336476,0.759267,Walking_231805003
13.553750,4.357500,-37.423752,0.875533,-0.337574,0.776408,Walking_231805003
10.517500,3.062500,-35.945000,0.896029,-0.333731,0.792146,Walking_231805003
8.006250,-1.461250,-35.192501,0.913902,-0.327204,0.798063,Walking_231805003
0.708750,-8.592500,-32.051250,0.967155,-0.270657,0.806847,Walking_231805003
-0.560000,-10.876250,-30.231251,0.986065,-0.258579,0.813069,Walking_231805003
-0.848750,-13.457500,-27.361250,1.002169,-0.248148,0.818620,Walking_231805003
-0.096250,-15.636250,-23.992500,1.018395,-0.237900,0.824354,Walking_231805003
1.618750,-17.753750,-20.125000,1.028155,-0.230885,0.831247,Walking_231805003
3.928750,-19.206249,-13.046250,1.029985,-0.226188,0.834175,Walking_231805003
6.055000,-20.361250,-7.656250,1.032547,-0.226371,0.839604,Walking_231805003
8.172500,-20.562500,-2.275000,1.034316,-0.224175,0.852841,Walking_231805003
9.747500,-19.285000,3.106250,1.039928,-0.230031,0.878400,Walking_231805003
10.780000,-17.097500,9.152500,1.039684,-0.239120,0.896090,Walking_231805003
11.760000,-14.472500,14.358750,1.038464,-0.265228,0.910791,Walking_231805003
13.063750,-11.733750,20.343750,1.041026,-0.253516,0.923357,Walking_231805003
13.011250,-8.391250,25.637501,1.053836,-0.243817,0.939217,Walking_231805003
11.611250,-4.628750,31.123751,1.086044,-0.228201,0.965386,Walking_231805003
8.723750,-0.315000,36.391251,1.108858,-0.218563,0.992531,Walking_231805003
